Classes treino: {0: 1755, 1: 1755} val: {0: 375, 1: 375} teste: {0: 375, 1: 375}
[GRID] hls=(16,), act=relu, solver=adam, eta=0.0001, alpha=0.0001, bs=64, patience=50, max_epochs=500, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=relu, solver=adam, eta=0.0001, alpha=0.0001, bs=64, patience=50, max_epochs=700, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=relu, solver=adam, eta=0.0001, alpha=0.0001, bs=64, patience=50, max_epochs=1000, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=relu, solver=adam, eta=0.0001, alpha=0.0001, bs=64, patience=100, max_epochs=300, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=relu, solver=adam, eta=0.0001, alpha=0.0001, bs=64, patience=100, max_epochs=500, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=relu, solver=adam, eta=0.0001, alpha=0.0001, bs=64, patience=100, max_epochs=700, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=relu, solver=adam, eta=0.0001, alpha=0.0001, bs=64, patience=100, max_epochs=1000, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=relu, solver=adam, eta=0.0001, alpha=0.0001, bs=64, patience=200, max_epochs=300, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=relu, solver=adam, eta=0.0001, alpha=0.0001, bs=64, patience=200, max_epochs=500, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=relu, solver=adam, eta=0.0001, alpha=0.0001, bs=64, patience=200, max_epochs=700, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=relu, solver=adam, eta=0.0001, alpha=0.0001, bs=64, patience=200, max_epochs=1000, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=relu, solver=sgd, eta=0.001, alpha=0.0001, bs=64, patience=30, max_epochs=300, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=relu, solver=sgd, eta=0.001, alpha=0.0001, bs=64, patience=30, max_epochs=500, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=relu, solver=sgd, eta=0.001, alpha=0.0001, bs=64, patience=30, max_epochs=700, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=relu, solver=sgd, eta=0.001, alpha=0.0001, bs=64, patience=30, max_epochs=1000, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=relu, solver=sgd, eta=0.001, alpha=0.0001, bs=64, patience=50, max_epochs=300, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=relu, solver=sgd, eta=0.001, alpha=0.0001, bs=64, patience=50, max_epochs=500, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=relu, solver=sgd, eta=0.001, alpha=0.0001, bs=64, patience=50, max_epochs=700, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=relu, solver=sgd, eta=0.001, alpha=0.0001, bs=64, patience=50, max_epochs=1000, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=relu, solver=sgd, eta=0.001, alpha=0.0001, bs=64, patience=100, max_epochs=300, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=relu, solver=sgd, eta=0.001, alpha=0.0001, bs=64, patience=100, max_epochs=500, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=relu, solver=sgd, eta=0.001, alpha=0.0001, bs=64, patience=100, max_epochs=700, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=relu, solver=sgd, eta=0.001, alpha=0.0001, bs=64, patience=100, max_epochs=1000, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=relu, solver=sgd, eta=0.001, alpha=0.0001, bs=64, patience=200, max_epochs=300, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=relu, solver=sgd, eta=0.001, alpha=0.0001, bs=64, patience=200, max_epochs=500, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=relu, solver=sgd, eta=0.001, alpha=0.0001, bs=64, patience=200, max_epochs=700, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=relu, solver=sgd, eta=0.001, alpha=0.0001, bs=64, patience=200, max_epochs=1000, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=relu, solver=sgd, eta=0.0005, alpha=0.0001, bs=64, patience=30, max_epochs=300, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=relu, solver=sgd, eta=0.0005, alpha=0.0001, bs=64, patience=30, max_epochs=500, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=relu, solver=sgd, eta=0.0005, alpha=0.0001, bs=64, patience=30, max_epochs=700, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=relu, solver=sgd, eta=0.0005, alpha=0.0001, bs=64, patience=30, max_epochs=1000, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=relu, solver=sgd, eta=0.0005, alpha=0.0001, bs=64, patience=50, max_epochs=300, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=relu, solver=sgd, eta=0.0005, alpha=0.0001, bs=64, patience=50, max_epochs=500, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=relu, solver=sgd, eta=0.0005, alpha=0.0001, bs=64, patience=50, max_epochs=700, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=relu, solver=sgd, eta=0.0005, alpha=0.0001, bs=64, patience=50, max_epochs=1000, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=relu, solver=sgd, eta=0.0005, alpha=0.0001, bs=64, patience=100, max_epochs=300, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=relu, solver=sgd, eta=0.0005, alpha=0.0001, bs=64, patience=100, max_epochs=500, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=relu, solver=sgd, eta=0.0005, alpha=0.0001, bs=64, patience=100, max_epochs=700, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=relu, solver=sgd, eta=0.0005, alpha=0.0001, bs=64, patience=100, max_epochs=1000, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=relu, solver=sgd, eta=0.0005, alpha=0.0001, bs=64, patience=200, max_epochs=300, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=relu, solver=sgd, eta=0.0005, alpha=0.0001, bs=64, patience=200, max_epochs=500, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=relu, solver=sgd, eta=0.0005, alpha=0.0001, bs=64, patience=200, max_epochs=700, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=relu, solver=sgd, eta=0.0005, alpha=0.0001, bs=64, patience=200, max_epochs=1000, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=relu, solver=sgd, eta=0.0001, alpha=0.0001, bs=64, patience=30, max_epochs=300, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=relu, solver=sgd, eta=0.0001, alpha=0.0001, bs=64, patience=30, max_epochs=500, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=relu, solver=sgd, eta=0.0001, alpha=0.0001, bs=64, patience=30, max_epochs=700, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=relu, solver=sgd, eta=0.0001, alpha=0.0001, bs=64, patience=30, max_epochs=1000, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=relu, solver=sgd, eta=0.0001, alpha=0.0001, bs=64, patience=50, max_epochs=300, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=relu, solver=sgd, eta=0.0001, alpha=0.0001, bs=64, patience=50, max_epochs=500, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=relu, solver=sgd, eta=0.0001, alpha=0.0001, bs=64, patience=50, max_epochs=700, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=relu, solver=sgd, eta=0.0001, alpha=0.0001, bs=64, patience=50, max_epochs=1000, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=relu, solver=sgd, eta=0.0001, alpha=0.0001, bs=64, patience=100, max_epochs=300, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=relu, solver=sgd, eta=0.0001, alpha=0.0001, bs=64, patience=100, max_epochs=500, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=relu, solver=sgd, eta=0.0001, alpha=0.0001, bs=64, patience=100, max_epochs=700, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=relu, solver=sgd, eta=0.0001, alpha=0.0001, bs=64, patience=100, max_epochs=1000, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=relu, solver=sgd, eta=0.0001, alpha=0.0001, bs=64, patience=200, max_epochs=300, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=relu, solver=sgd, eta=0.0001, alpha=0.0001, bs=64, patience=200, max_epochs=500, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=relu, solver=sgd, eta=0.0001, alpha=0.0001, bs=64, patience=200, max_epochs=700, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=relu, solver=sgd, eta=0.0001, alpha=0.0001, bs=64, patience=200, max_epochs=1000, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=tanh, solver=adam, eta=0.001, alpha=0.0001, bs=64, patience=30, max_epochs=300, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=tanh, solver=adam, eta=0.001, alpha=0.0001, bs=64, patience=30, max_epochs=500, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=tanh, solver=adam, eta=0.001, alpha=0.0001, bs=64, patience=30, max_epochs=700, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=tanh, solver=adam, eta=0.001, alpha=0.0001, bs=64, patience=30, max_epochs=1000, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=tanh, solver=adam, eta=0.001, alpha=0.0001, bs=64, patience=50, max_epochs=300, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=tanh, solver=adam, eta=0.001, alpha=0.0001, bs=64, patience=50, max_epochs=500, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=tanh, solver=adam, eta=0.001, alpha=0.0001, bs=64, patience=50, max_epochs=700, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=tanh, solver=adam, eta=0.001, alpha=0.0001, bs=64, patience=50, max_epochs=1000, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=tanh, solver=adam, eta=0.001, alpha=0.0001, bs=64, patience=100, max_epochs=300, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=tanh, solver=adam, eta=0.001, alpha=0.0001, bs=64, patience=100, max_epochs=500, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=tanh, solver=adam, eta=0.001, alpha=0.0001, bs=64, patience=100, max_epochs=700, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=tanh, solver=adam, eta=0.001, alpha=0.0001, bs=64, patience=100, max_epochs=1000, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=tanh, solver=adam, eta=0.001, alpha=0.0001, bs=64, patience=200, max_epochs=300, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=tanh, solver=adam, eta=0.001, alpha=0.0001, bs=64, patience=200, max_epochs=500, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=tanh, solver=adam, eta=0.001, alpha=0.0001, bs=64, patience=200, max_epochs=700, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=tanh, solver=adam, eta=0.001, alpha=0.0001, bs=64, patience=200, max_epochs=1000, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=tanh, solver=adam, eta=0.0005, alpha=0.0001, bs=64, patience=30, max_epochs=300, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=tanh, solver=adam, eta=0.0005, alpha=0.0001, bs=64, patience=30, max_epochs=500, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=tanh, solver=adam, eta=0.0005, alpha=0.0001, bs=64, patience=30, max_epochs=700, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=tanh, solver=adam, eta=0.0005, alpha=0.0001, bs=64, patience=30, max_epochs=1000, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=tanh, solver=adam, eta=0.0005, alpha=0.0001, bs=64, patience=50, max_epochs=300, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=tanh, solver=adam, eta=0.0005, alpha=0.0001, bs=64, patience=50, max_epochs=500, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=tanh, solver=adam, eta=0.0005, alpha=0.0001, bs=64, patience=50, max_epochs=700, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=tanh, solver=adam, eta=0.0005, alpha=0.0001, bs=64, patience=50, max_epochs=1000, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=tanh, solver=adam, eta=0.0005, alpha=0.0001, bs=64, patience=100, max_epochs=300, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=tanh, solver=adam, eta=0.0005, alpha=0.0001, bs=64, patience=100, max_epochs=500, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=tanh, solver=adam, eta=0.0005, alpha=0.0001, bs=64, patience=100, max_epochs=700, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=tanh, solver=adam, eta=0.0005, alpha=0.0001, bs=64, patience=100, max_epochs=1000, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=tanh, solver=adam, eta=0.0005, alpha=0.0001, bs=64, patience=200, max_epochs=300, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=tanh, solver=adam, eta=0.0005, alpha=0.0001, bs=64, patience=200, max_epochs=500, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=tanh, solver=adam, eta=0.0005, alpha=0.0001, bs=64, patience=200, max_epochs=700, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=tanh, solver=adam, eta=0.0005, alpha=0.0001, bs=64, patience=200, max_epochs=1000, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=tanh, solver=adam, eta=0.0001, alpha=0.0001, bs=64, patience=30, max_epochs=300, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=tanh, solver=adam, eta=0.0001, alpha=0.0001, bs=64, patience=30, max_epochs=500, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=tanh, solver=adam, eta=0.0001, alpha=0.0001, bs=64, patience=30, max_epochs=700, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=tanh, solver=adam, eta=0.0001, alpha=0.0001, bs=64, patience=30, max_epochs=1000, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=tanh, solver=adam, eta=0.0001, alpha=0.0001, bs=64, patience=50, max_epochs=300, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=tanh, solver=adam, eta=0.0001, alpha=0.0001, bs=64, patience=50, max_epochs=500, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=tanh, solver=adam, eta=0.0001, alpha=0.0001, bs=64, patience=50, max_epochs=700, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=tanh, solver=adam, eta=0.0001, alpha=0.0001, bs=64, patience=50, max_epochs=1000, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=tanh, solver=adam, eta=0.0001, alpha=0.0001, bs=64, patience=100, max_epochs=300, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=tanh, solver=adam, eta=0.0001, alpha=0.0001, bs=64, patience=100, max_epochs=500, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=tanh, solver=adam, eta=0.0001, alpha=0.0001, bs=64, patience=100, max_epochs=700, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=tanh, solver=adam, eta=0.0001, alpha=0.0001, bs=64, patience=100, max_epochs=1000, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=tanh, solver=adam, eta=0.0001, alpha=0.0001, bs=64, patience=200, max_epochs=300, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=tanh, solver=adam, eta=0.0001, alpha=0.0001, bs=64, patience=200, max_epochs=500, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=tanh, solver=adam, eta=0.0001, alpha=0.0001, bs=64, patience=200, max_epochs=700, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=tanh, solver=adam, eta=0.0001, alpha=0.0001, bs=64, patience=200, max_epochs=1000, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=tanh, solver=sgd, eta=0.001, alpha=0.0001, bs=64, patience=30, max_epochs=300, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=tanh, solver=sgd, eta=0.001, alpha=0.0001, bs=64, patience=30, max_epochs=500, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=tanh, solver=sgd, eta=0.001, alpha=0.0001, bs=64, patience=30, max_epochs=700, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=tanh, solver=sgd, eta=0.001, alpha=0.0001, bs=64, patience=30, max_epochs=1000, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=tanh, solver=sgd, eta=0.001, alpha=0.0001, bs=64, patience=50, max_epochs=300, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=tanh, solver=sgd, eta=0.001, alpha=0.0001, bs=64, patience=50, max_epochs=500, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=tanh, solver=sgd, eta=0.001, alpha=0.0001, bs=64, patience=50, max_epochs=700, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=tanh, solver=sgd, eta=0.001, alpha=0.0001, bs=64, patience=50, max_epochs=1000, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=tanh, solver=sgd, eta=0.001, alpha=0.0001, bs=64, patience=100, max_epochs=300, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=tanh, solver=sgd, eta=0.001, alpha=0.0001, bs=64, patience=100, max_epochs=500, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=tanh, solver=sgd, eta=0.001, alpha=0.0001, bs=64, patience=100, max_epochs=700, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=tanh, solver=sgd, eta=0.001, alpha=0.0001, bs=64, patience=100, max_epochs=1000, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=tanh, solver=sgd, eta=0.001, alpha=0.0001, bs=64, patience=200, max_epochs=300, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=tanh, solver=sgd, eta=0.001, alpha=0.0001, bs=64, patience=200, max_epochs=500, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=tanh, solver=sgd, eta=0.001, alpha=0.0001, bs=64, patience=200, max_epochs=700, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=tanh, solver=sgd, eta=0.001, alpha=0.0001, bs=64, patience=200, max_epochs=1000, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=tanh, solver=sgd, eta=0.0005, alpha=0.0001, bs=64, patience=30, max_epochs=300, tol=0.0001, momentum=None, nest=None, lr_policy=None
[GRID] hls=(16,), act=tanh, solver=sgd, eta=0.0005, alpha=0.0001, bs=64, patience=30, max_epochs=500, tol=0.0001, momentum=None, nest=None, lr_policy=None
